issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-5617	4508	PI	CMOCONP	High	TCFC	AM			CE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-436	3780	URBTM	TMOPI	Medium	TCFC	CSS			CE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-2807	2792	MR	EHRB	Low	LOGRF	CM			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-735	5763	MR	EHRB	Low	LOGRF	CBS			LE	TC	
https://tickets.puppetlabs.com/browse/PUP-7807	6283	URBTM	TMOFS	Medium	TCFC	AM,CBS			LE,AE	TC	
https://tickets.puppetlabs.com/browse/PUP-8110	8498	CFNF	TMOITE	Low	SH,TCFC	CAS			LE	TC	
https://tickets.puppetlabs.com/browse/PUP-10324	8051	URBTM	CMOCONP	Medium	TCFC	CSS			AE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-6642	5213	URBCDNP	TMOFTMF	Medium	TCFC	CDDI,CAS			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-5342	4341	CEC	TMOFTMF	High	TCFC	CDDI,CAS,AM			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-1295	3921	UDBE	CMOEP	Medium	TCIA	CSS			CE	TC,FDEPU	
https://tickets.puppetlabs.com/browse/PUP-6571	7340	MR	EHRB	Medium	LOGRF	CDDI,CBS			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-6361	5066	MR	EHRB	High	TCFC	CCONF			CE	TC	
https://tickets.puppetlabs.com/browse/PUP-10080	7774	CEC	TMOFS	Low	TCFC	CAS,CBS		linux/centos7	PE	TC	
https://tickets.puppetlabs.com/browse/PUP-316	6884	CERE	MCDP	High	TCFC	CDDI,CAS,CBS		windows	CE	CLICDMO,OSSE,ENVS	
https://tickets.puppetlabs.com/browse/PUP-8067	6352	URBCDNP	TMOITE	Medium	TCFC	CCONF		linux,ubuntu16.04,linux/centos7	PE	TC	
https://tickets.puppetlabs.com/browse/PUP-10435	8786	CCP	CMOPI	Medium	TCIA	CBS			LE	TC	
https://tickets.puppetlabs.com/browse/PUP-5382	4343	MR	EHRB	Medium	TCFC	CAS,CCONF			CE	CLICDMO	
