issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-3621	3300	URBTM	TMOFTMF	Low	TCFC	CAS			LE	ENVS,TC	
https://tickets.puppetlabs.com/browse/PUP-10500	8149	CEC	CMOEP	Low	TCFC	CAS,AM			LE	TC	
https://tickets.puppetlabs.com/browse/PUP-1585	2342	URBTM	CMOEP	Low	TCIA	CBS		linux/debian	PE	CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-11472	8888	MR	EHRB	Low	LOGRF	CAS,CBS			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-4822	4135	CERE	TMOFS	Medium	TCFC	CAS		macos	CE	FDEPU	
https://tickets.puppetlabs.com/browse/PUP-9400	7326	CCP	CMOPI	Low	TCFC	AM		windows	AE	TC	
https://tickets.puppetlabs.com/browse/PUP-6660	5853	URBTM	CMOEP	High	LOGRF	CAS		linux/ubuntu16.04,linux/centos7,linux/centos6	PE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-5026	4254	MR	EHRB	Medium	LOGRF	CAS,CBS		macos	LE	TC	
https://tickets.puppetlabs.com/browse/PUP-2699	3498	CERE	EHRB	High	LOGRF	CSS		windows	CE	OSSE	
https://tickets.puppetlabs.com/browse/PUP-3935	3547	UDBE	MCDP	High	TCFC	CDEP			CE	FDEPU,CLICDMO,TC	
https://tickets.puppetlabs.com/browse/PUP-1498	5042	CFNF	CMOEP	Medium	TCFC	CAS		windows	PE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-10951	8535	CFNF	CMOEP	Medium	TCFC	AM			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-9499	7426	CERE	MCDP	Medium	TCFC	CSS		windows	LE	CLICDMO,TC,OSSE	
https://tickets.puppetlabs.com/browse/PUP-1510	2354	URBCDNP	CMOPI	Medium	TCFC	AM,CBS			PE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-1295	3921	UDBE	CMOEP	Medium	TCIA	CBS,CRS			LE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-7611	5959	MR	EHRB	Medium	LOGRF	CAS			PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-7590	5909	MR	EHRB	High	LOGRF	CBS			PE	TC	
https://tickets.puppetlabs.com/browse/PUP-11204	8784	URBCDNP	CMOPI	Medium	TCIA	AM,CBS			LE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-2100	2490	CERE	MCDV	Medium	TCFC	CM		windows	AE	OSSE	
https://tickets.puppetlabs.com/browse/PUP-5382	4343	URBCDNP	TMOITE	Medium	TCFC	CAS			LE	ENVS,CLICDMO	
