issue	fix	symptoms	root causes	impact level	impact consequences	code fix	conceptual fix	system dependent	trigger cause	trigger reproduction	notes
https://tickets.puppetlabs.com/browse/PUP-5682	https://github.com/puppetlabs/puppet/pull/4450	UDBE	CMOEP	Medium	TCIA	CAS,CM,CCONF	FEC	linux/centos6,linux/centos7	CE,PE	SITMCE,ENVS	
https://tickets.puppetlabs.com/browse/PUP-6542	https://github.com/puppetlabs/puppet/pull/7204	MR	EHRB	Medium	LOGRF	CSS	FEC	windows	CE	CLICDMO,OSSE	
https://tickets.puppetlabs.com/browse/PUP-3449	https://github.com/puppetlabs/puppet/pull/3190	MR	EHRB	Medium	LOGRF	CAS,CBS	FPC		LE	TC	
https://tickets.puppetlabs.com/browse/PUP-308	https://github.com/puppetlabs/puppet/pull/4000	CERE	MCDP	High	TCFC	CAS,CM,CBS	EPF	windows	LE,CE	TC,OSSE	
https://tickets.puppetlabs.com/browse/PUP-2628	https://github.com/puppetlabs/puppet/pull/3753	CCP	CMOPI	Medium	TCIA	CSS	FEC		AE,CE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-10942	https://github.com/puppetlabs/puppet/pull/8523	MR	EHRB	High	LOGRF	AM,CBS	CSS		LE,AE	TC	
https://tickets.puppetlabs.com/browse/PUP-1334	https://github.com/puppetlabs/puppet/pull/5704	CERE	MCDP	High	TCFC	AM,CDEP,CCONF	FEC	linux/fedora22	CE	OSSE	
https://tickets.puppetlabs.com/browse/PUP-5478	https://github.com/puppetlabs/puppet/pull/4418	CERE	MCDP	High	TCFC	CSS	FEC	linux/solaris10	CE	OSSE	
https://tickets.puppetlabs.com/browse/PUP-5191	https://github.com/puppetlabs/puppet/pull/4219	CERE	MCDP	Medium	TCFC	CRS	FEC	linux/solaris	PE	CLICDMO,OSSE	
https://tickets.puppetlabs.com/browse/PUP-6113	https://github.com/puppetlabs/puppet/pull/4848	MR	EHRB	Medium	LOGRF	CBS,CRS	FEC		AE	ENVS,TC	
https://tickets.puppetlabs.com/browse/PUP-8221	https://github.com/puppetlabs/puppet/pull/6406	UDBE	MCDP	Medium	TCIA	CDDI,CAS,AM	FPC		AE	ENVS,TC	
https://tickets.puppetlabs.com/browse/PUP-7883	https://github.com/puppetlabs/puppet/pull/6154	UDBE	MCDP	Medium	TCIA	AM,CBS	EEF		LE	TC,ENVS	
https://tickets.puppetlabs.com/browse/PUP-7061	https://github.com/puppetlabs/puppet/pull/5469	URBTM	TMOFTMF	Medium	TCFC	CSS	FPC		PE	TC	
https://tickets.puppetlabs.com/browse/PUP-2904	https://github.com/puppetlabs/puppet/pull/3360	URBCDNP	TMOPI	Medium	SH,TCFC	CSS	CCONF		CE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-9472	https://github.com/puppetlabs/puppet/pull/7441	URBTM	TMOITE	High	TCFC,SH	CSS,CCONF	CCONF		CE,AE	CLICDMO	
https://tickets.puppetlabs.com/browse/PUP-2569	https://github.com/puppetlabs/puppet/pull/2704	UDBE	CMOEP	Medium	TCIA	CSS	FEC	linux/redhat6,linux/redhat7	CE	SITMCE,OSSE	
https://tickets.puppetlabs.com/browse/PUP-8943	https://github.com/puppetlabs/puppet/pull/6882	MR	EHRB	Low	LOGRF	CAS	CSS		PE	SITMCE	
https://tickets.puppetlabs.com/browse/PUP-7937	https://github.com/puppetlabs/puppet/pull/6375	CERE	MCDP	High	TCFC	CCONF	DDM	windows	CE	OSSE	
https://tickets.puppetlabs.com/browse/PUP-7009	https://github.com/puppetlabs/puppet/pull/5781	MR	EHRB	Low	LOGRF	CAS,CBS	FEC		PE	TC	
