48676 | URBTM | TMO | High TCIA | CBS FCC | N | LE SIIMI
57638 | CFNF | TMO | Medium TCFC | CBS EEF | N | PE TC
46456 | CEC | CMO | High TCFC | CM FEC | N | PE SITMCE
31363 | URB | TMO | Medium TCIA | CBS FEC | N | AE SIIMI
45147 | CEC | CMO | High LOGRF | CRS FEC | N | LE SIIMI
5652 | URBTM | TMO | Medium TCIA | CBS FEC | N | PE SIIMI
48640 | URBTM | TMO | Medium TCIA | CBS EEF | N | PE  TC
40011 | URB | CMO | Medium LOGRF | IM FCC | N | PE SITMCE
23658 | URB | TMO | Low LOGRF | AM FEC | N | LE SIIMI
49744 | URBTM | TMO | Medium TCIA | CBS FEC | N | LE SIIMI
32077 | CEC | CMO | Medium LOGRF | CBS FEC | N | LE SIIMI
12951 | URB | CMO | Medium LOGRF | IM FEC | N | LE SIIMI
56960 | URB | TMO | Medium TCIA | CM EEF | N | PE  TC 
11966 | URB | TMOFS | Medium TCF | CBS FEC | N | LE TC
7845 | CEC | CMO | Low TCFC | CAS FEC | N | PE SIIMI
26284 | URB | TMO | Low TCF | CBS FEC | Y SUSELinuxEnterpriseServer | LE OSSE
25776 | URBTM | TMOPI  | Medium TCIA | CBS FEC | Y Linux/CentOS/6.6/2015.5.2 | LE OSSE
