system dependent,count
,72
linux/debian,1
macos,2
windows,11
linux/ubuntu16.04,1
linux/centos7,4
linux/centos6,2
linux,1
ubuntu16.04,1
linux/fedora22,1
linux/solaris10,1
linux/solaris,2
linux/redhat6,1
linux/redhat7,1
linux/redhat,1
